"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.868140450E1,2.766171750E1,NaN,NaN,NaN,6.000000000E1,0.000000000E0
1.978228260E0,6.868132500E1,2.766187167E1,1.688220486E2,1.361955047E0,1.585999966E1,5.099999905E0,6.359999847E1
2.478228260E0,6.868128333E1,2.766191167E1,1.452221704E2,1.009370327E0,7.099999905E0,3.200000048E0,2.410000038E1
2.978228260E0,6.868129833E1,2.766191667E1,1.444221508E2,9.177497029E-1,1.100000024E0,2.900000095E0,2.110000038E1
3.478228260E0,6.868131333E1,2.766190500E1,1.415221103E2,7.736275196E-1,3.565499878E2,2.700000048E0,2.020000076E1
4.478228260E0,6.868131667E1,2.766190833E1,1.393221087E2,6.114900112E-1,3.534200134E2,2.400000095E0,1.970000076E1
5.478228260E0,6.868131167E1,2.766189833E1,1.353221049E2,7.118608356E-1,3.325599976E2,2.299999952E0,2.100000000E1
6.478228260E0,6.868130833E1,2.766189833E1,1.321221106E2,8.400266767E-1,3.401700134E2,2.200000048E0,2.200000000E1
7.478228260E0,6.868130500E1,2.766191333E1,1.287221351E2,8.158347011E-1,3.187900085E2,2.099999905E0,2.120000076E1
8.478228260E0,6.868131000E1,2.766190833E1,1.271221202E2,1.418574452E0,3.176199951E2,2.000000000E0,2.010000038E1
9.478228260E0,6.868131333E1,2.766187833E1,1.262220770E2,1.263128281E0,2.931900024E2,1.799999952E0,1.600000000E1
1.051522826E1,6.868131500E1,2.766185000E1,1.259220388E2,8.981902599E-1,2.784599915E2,1.700000048E0,1.500000000E1
1.151522826E1,6.868131333E1,2.766181833E1,1.270220021E2,9.826047421E-1,2.711300049E2,1.700000048E0,1.419999981E1
1.251522826E1,6.868131000E1,2.766178833E1,1.277219705E2,1.120550275E0,2.618500061E2,1.600000024E0,1.450000000E1
1.351522826E1,6.868130167E1,2.766177167E1,1.283219640E2,1.203420520E0,2.198899994E2,1.600000024E0,1.380000019E1
1.451522826E1,6.868129000E1,2.766176000E1,1.289219696E2,1.354748845E0,2.171100006E2,1.600000024E0,1.439999962E1
1.551522826E1,6.868127833E1,2.766174667E1,1.292219731E2,1.386146903E0,2.118300018E2,1.600000024E0,1.469999981E1
1.651522826E1,6.868126500E1,2.766174000E1,1.295219878E2,1.225553632E0,2.178399963E2,1.700000048E0,1.569999981E1
1.751522826E1,6.868125500E1,2.766173000E1,1.295219925E2,1.215259194E0,1.971999969E2,1.700000048E0,1.589999962E1
1.851522826E1,6.868124500E1,2.766171500E1,1.299219911E2,1.425265789E0,2.155000000E2,1.700000048E0,1.629999924E1
1.951522826E1,6.868123833E1,2.766168333E1,1.302219631E2,1.130329967E0,2.183000031E2,1.700000048E0,1.679999924E1
2.051522826E1,6.868123000E1,2.766165833E1,1.303219462E2,1.160698652E0,2.210200043E2,1.600000024E0,1.660000038E1
2.151522826E1,6.868122000E1,2.766164500E1,1.307219468E2,1.215259194E0,2.031600037E2,1.600000024E0,1.710000038E1
2.251522826E1,6.868121167E1,2.766163167E1,1.310219446E2,1.222980022E0,2.166900024E2,1.600000024E0,1.810000038E1
2.351522826E1,6.868120167E1,2.766161833E1,1.314219452E2,1.227612495E0,1.960000000E2,1.600000024E0,1.889999962E1
2.451522826E1,6.868119167E1,2.766161167E1,1.317219541E2,1.214229703E0,1.896399994E2,1.600000024E0,1.789999962E1
2.551522826E1,6.868118167E1,2.766160333E1,1.318219610E2,1.211141348E0,1.839499969E2,1.500000000E0,1.660000038E1
2.651522826E1,6.868116833E1,2.766159667E1,1.320219757E2,1.198788047E0,1.946900024E2,1.600000024E0,1.729999924E1
2.751522826E1,6.868115833E1,2.766158333E1,1.324219763E2,1.207023621E0,2.027599945E2,1.600000024E0,1.770000076E1
2.851522826E1,6.868115000E1,2.766157000E1,1.325219740E2,1.186434746E0,2.066000061E2,1.600000024E0,1.870000076E1
2.951522826E1,6.868114000E1,2.766156000E1,1.327219788E2,1.185405254E0,2.029299927E2,1.600000024E0,1.960000038E1
3.051522826E1,6.868113167E1,2.766154000E1,1.328219682E2,1.163786888E0,2.349799957E2,1.600000024E0,1.820000076E1
3.151522826E1,6.868112500E1,2.766151833E1,1.328219527E2,1.153492451E0,2.450299988E2,1.600000024E0,1.800000000E1
3.251522826E1,6.868111833E1,2.766150000E1,1.328219413E2,1.109741092E0,2.188800049E2,1.600000024E0,1.760000038E1
3.351522826E1,6.868111167E1,2.766148167E1,1.332219299E2,1.082460880E0,2.137799988E2,1.600000024E0,1.130000019E1
3.451522826E1,6.868110333E1,2.766147167E1,1.333219318E2,1.068048596E0,1.873699951E2,1.500000000E0,1.069999981E1
3.551522826E1,6.868109167E1,2.766147333E1,1.332219540E2,1.062386632E0,1.899499969E2,1.500000000E0,1.039999962E1
3.651522826E1,6.868108167E1,2.766147000E1,1.331219671E2,1.086578608E0,1.920000000E2,1.500000000E0,1.050000000E1
3.751522826E1,6.868106833E1,2.766146667E1,1.328219859E2,1.088637471E0,1.850599976E2,1.500000000E0,1.089999962E1
3.851522826E1,6.868105500E1,2.766146333E1,1.326220048E2,1.101505518E0,1.790700073E2,1.500000000E0,1.060000038E1
3.951522826E1,6.868104500E1,2.766145667E1,1.327220137E2,1.094814181E0,2.030000000E2,1.600000024E0,1.069999981E1
4.051522826E1,6.868103500E1,2.766143833E1,1.328220081E2,1.127756357E0,2.293800049E2,1.600000024E0,1.060000038E1
4.151522826E1,6.868102833E1,2.766141667E1,1.329219925E2,1.166360497E0,2.247200012E2,1.600000024E0,1.060000038E1
4.251522826E1,6.868102000E1,2.766139833E1,1.329219840E2,1.221435785E0,2.139400024E2,1.600000024E0,1.050000000E1
4.351522826E1,6.868101167E1,2.766139000E1,1.330219880E2,1.231730223E0,1.948399963E2,1.600000024E0,1.089999962E1
4.451522826E1,6.868100167E1,2.766139167E1,1.332220074E2,1.222980022E0,1.948800049E2,1.700000048E0,1.160000038E1
4.551522826E1,6.868099000E1,2.766139000E1,1.336220254E2,1.212170839E0,1.889299927E2,1.700000048E0,1.130000019E1
4.651522826E1,6.868098000E1,2.766138000E1,1.338220302E2,1.189008355E0,1.981399994E2,1.700000048E0,1.150000000E1
4.751522826E1,6.868097167E1,2.766137167E1,1.340220342E2,1.164301634E0,2.055399933E2,1.700000048E0,1.160000038E1
4.851522826E1,6.868096000E1,2.766136000E1,1.343220397E2,1.169963598E0,1.939900055E2,1.600000024E0,1.180000019E1
